"","ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0030198","GO:0030198","extracellular matrix organization","126/3391","331/18860",0.380664652567976,2.11717350263404,9.60065222623724,2.84803421753934e-18,1.05334612632083e-14,7.26524826821622e-15,"ADAMTS1/PDPN/PTX3/LAMA2/COL1A1/COL11A1/ADAMTS14/CRISPLD2/GPM6B/COL4A1/MFAP4/APBB2/COL4A4/CFLAR/COL3A1/CREB3L1/NID1/LUM/ANXA2/COL4A2/POSTN/MYO1E/LAMC1/LAMB1/KAZALD1/ELN/SOX9/STAT3/ADAMTSL4/ITGA2/ADAMTS2/ADAMTSL1/AXIN2/EXT1/ITGA8/DPT/SPINT2/ANGPTL7/TGFB2/MMP15/SULF2/FLRT2/PPARG/AGT/NTN4/B4GALT1/TNFRSF11B/THSD4/CCN1/RUNX1/COL27A1/COL4A3/LOX/COL5A1/COL14A1/FKRP/NOTCH1/FOXF2/TIMP3/ADAMTS7/ENG/SERPINH1/LOXL2/COL5A3/SMAD3/PDGFRA/FURIN/LOXL1/COL1A2/COL6A6/SLC2A10/TNFRSF1B/PAPLN/CAV2/ADAMTS5/CST3/PHLDB2/RGCC/CAV1/SFRP2/TNXB/ITGB1/NID2/SH3PXD2B/OLFML2A/P3H1/ST7/FSCN1/RXFP1/FBLN5/TGFBI/OLFML2B/CTSS/FGFR4/MMP19/ATXN1L/DNAJB6/PLOD3/COL5A2/GAS6/HMCN1/MMP7/BCL3/MMP11/RB1/MMP10/ADAMTS3/DAG1/PHLDB1/DPP4/GREM1/COLGALT1/MMP2/APLP1/ATP7A/COL12A1/NDNF/ANTXR2/SULF1/PLOD2/SERAC1/PXDN/LARGE1/CSGALNACT1/ERO1A/MATN2",126
"GO:0043062","GO:0043062","extracellular structure organization","126/3391","332/18860",0.379518072289157,2.11079647401165,9.5605167948383,3.7909327018114e-18,1.05334612632083e-14,7.26524826821622e-15,"ADAMTS1/PDPN/PTX3/LAMA2/COL1A1/COL11A1/ADAMTS14/CRISPLD2/GPM6B/COL4A1/MFAP4/APBB2/COL4A4/CFLAR/COL3A1/CREB3L1/NID1/LUM/ANXA2/COL4A2/POSTN/MYO1E/LAMC1/LAMB1/KAZALD1/ELN/SOX9/STAT3/ADAMTSL4/ITGA2/ADAMTS2/ADAMTSL1/AXIN2/EXT1/ITGA8/DPT/SPINT2/ANGPTL7/TGFB2/MMP15/SULF2/FLRT2/PPARG/AGT/NTN4/B4GALT1/TNFRSF11B/THSD4/CCN1/RUNX1/COL27A1/COL4A3/LOX/COL5A1/COL14A1/FKRP/NOTCH1/FOXF2/TIMP3/ADAMTS7/ENG/SERPINH1/LOXL2/COL5A3/SMAD3/PDGFRA/FURIN/LOXL1/COL1A2/COL6A6/SLC2A10/TNFRSF1B/PAPLN/CAV2/ADAMTS5/CST3/PHLDB2/RGCC/CAV1/SFRP2/TNXB/ITGB1/NID2/SH3PXD2B/OLFML2A/P3H1/ST7/FSCN1/RXFP1/FBLN5/TGFBI/OLFML2B/CTSS/FGFR4/MMP19/ATXN1L/DNAJB6/PLOD3/COL5A2/GAS6/HMCN1/MMP7/BCL3/MMP11/RB1/MMP10/ADAMTS3/DAG1/PHLDB1/DPP4/GREM1/COLGALT1/MMP2/APLP1/ATP7A/COL12A1/NDNF/ANTXR2/SULF1/PLOD2/SERAC1/PXDN/LARGE1/CSGALNACT1/ERO1A/MATN2",126
"GO:0045229","GO:0045229","external encapsulating structure organization","126/3391","333/18860",0.378378378378378,2.10445774586146,9.52052234730226,5.03672040000395e-18,1.05334612632083e-14,7.26524826821622e-15,"ADAMTS1/PDPN/PTX3/LAMA2/COL1A1/COL11A1/ADAMTS14/CRISPLD2/GPM6B/COL4A1/MFAP4/APBB2/COL4A4/CFLAR/COL3A1/CREB3L1/NID1/LUM/ANXA2/COL4A2/POSTN/MYO1E/LAMC1/LAMB1/KAZALD1/ELN/SOX9/STAT3/ADAMTSL4/ITGA2/ADAMTS2/ADAMTSL1/AXIN2/EXT1/ITGA8/DPT/SPINT2/ANGPTL7/TGFB2/MMP15/SULF2/FLRT2/PPARG/AGT/NTN4/B4GALT1/TNFRSF11B/THSD4/CCN1/RUNX1/COL27A1/COL4A3/LOX/COL5A1/COL14A1/FKRP/NOTCH1/FOXF2/TIMP3/ADAMTS7/ENG/SERPINH1/LOXL2/COL5A3/SMAD3/PDGFRA/FURIN/LOXL1/COL1A2/COL6A6/SLC2A10/TNFRSF1B/PAPLN/CAV2/ADAMTS5/CST3/PHLDB2/RGCC/CAV1/SFRP2/TNXB/ITGB1/NID2/SH3PXD2B/OLFML2A/P3H1/ST7/FSCN1/RXFP1/FBLN5/TGFBI/OLFML2B/CTSS/FGFR4/MMP19/ATXN1L/DNAJB6/PLOD3/COL5A2/GAS6/HMCN1/MMP7/BCL3/MMP11/RB1/MMP10/ADAMTS3/DAG1/PHLDB1/DPP4/GREM1/COLGALT1/MMP2/APLP1/ATP7A/COL12A1/NDNF/ANTXR2/SULF1/PLOD2/SERAC1/PXDN/LARGE1/CSGALNACT1/ERO1A/MATN2",126
"GO:0070482","GO:0070482","response to oxygen levels","129/3391","357/18860",0.361344537815126,2.00971925190011,9.01790749245789,1.53200452687818e-16,2.17152073001433e-13,1.49776382415129e-13,"VCAM1/CXCL12/COL1A1/HIF3A/FOXO1/TRPC6/CBS/LOC102724560/CITED2/ABCC9/AGTRAP/PRKAA1/ABAT/FOXO3/HIGD1A/CFLAR/ROCK2/AQP3/LIF/PRKCE/LEP/POSTN/DDAH1/PTGIS/STAT3/MYC/ITGA2/SRF/FZD4/VEGFA/CPT1A/HIPK2/MDM2/TGFB2/THBS1/PPARG/EPAS1/CAT/ZFP36L1/BBC3/STC1/NOTCH1/INHBA/CASP3/MAP1LC3A/SCN2A/HIF1A/ENG/NONO/CPEB1/LOXL2/LPAR1/SMAD3/PARP2/CCNA2/ITPR2/WTIP/MTOR/FGFR2/CRYAB/ARNT2/ANG/PDLIM1/RGCC/CAV1/TMBIM6/EPHA4/DNMT3A/TP53/ATP1B1/RORA/RAD21/VEGFC/ATP6V0D1/KCND2/HSF1/ADORA1/GUCY1A2/PLAU/MAP2K1/KCNJ8/SLC1A1/KCNMA1/ATP6V0A2/MSTN/HSD11B2/VEGFD/PTGS2/ADAM17/EEF2K/SCAP/SLC11A2/STC2/CYGB/ITPR1/SFRP1/EDNRA/DDIT4/SLC7A5/PINK1/ABCB1/MECP2/TRPV4/DPP4/ZEB2/MMP2/CBL/BNIP2/NDNF/UBQLN1/ANKRD1/MT-CYB/BNIP3L/PLOD2/HDAC2/ATF4/ALAS1/ADA/CREB1/PPARA/BCL2/VASN/ANGPTL4/GUCY1A1/JUND/GATA6/ERO1A/CYBA/ATP6V1A",129
"GO:0031589","GO:0031589","cell-substrate adhesion","132/3391","369/18860",0.357723577235772,1.98958026147646,8.98827007305505,1.73057119063941e-16,2.17152073001433e-13,1.49776382415129e-13,"PDPN/VCAM1/COL1A1/FAM107A/PLPP3/GPM6B/ITGA11/STON1/PEAK1/MYADM/ROCK2/PIK3R1/ITGBL1/NEDD9/COL3A1/PRKCE/NID1/ACVRL1/ANXA2/NF2/EPHB3/POSTN/ITGA10/VCL/CORO2B/CDK6/CCN2/LAMC1/CARMIL1/LAMB1/LIMS2/APOD/KANK1/ZYX/ITGA2/ANKRD28/BCL6/COL8A1/SRF/FZD4/ITGA8/HACD1/VEGFA/EMP2/SPOCK1/ROCK1/THBS1/DOCK5/FERMT2/RRAS/NTN4/RAC3/SORBS1/ACTN4/CCN1/EDA/TLN1/DUSP3/LDB1/MDK/COL16A1/NOTCH1/ACTG1/ANGPT1/PTK2B/MERTK/SVEP1/COL5A3/SMAD3/POPDC1/ITGA7/JAG1/ITGA1/JAK2/PTEN/DAPK3/SORBS3/LIMS1/PHLDB2/PIP5K1A/HPSE/PARVA/WHAMM/TNXB/ITGB1/RAC1/NID2/FLNA/RSU1/ITGB8/PLAU/FBLN5/CFL1/ITGA4/TYRO3/PKD1/PPM1F/CSF1/PREX1/GAS6/PPFIA2/SFRP1/FZD7/CORO1C/ITGB1BP1/PTPRJ/PKP2/CRK/ITGA6/DAG1/RIN2/CDKN2A/CASK/GREM1/GCNT2/LYPD3/TRIP6/TRIOBP/SDC4/NDNF/BCL2L11/BCAM/UTRN/DUSP22/PLEKHA2/BCL2/ITGA3/ACTN1/PTPRK/PXN/THY1/LPXN",132
"GO:0007015","GO:0007015","actin filament organization","155/3391","469/18860",0.330490405117271,1.83811531716654,8.60556981638558,1.40217366558976e-15,1.27596651195027e-12,8.80072870598387e-13,"CXCL12/SYNPO2/FAM107A/CDC42EP3/AMOT/DAAM2/LMOD1/DSTN/ARHGEF2/AIF1L/ARHGAP28/WASF3/MYADM/ROCK2/PIK3R1/NEDD9/MARCKSL1/PRKCE/RND2/RHOJ/S1PR1/NF2/MYO1E/CORO2B/MICAL2/ARPC5/CCN2/RHOB/SWAP70/CARMIL1/CALD1/ELN/KANK1/TPM4/PLEC/ZYX/RFLNB/SSH2/DNAI3/CORO6/CNN2/SRF/CYFIP2/EMP2/ROCK1/TPM2/FHOD1/WDR1/CYRIA/FERMT2/SVIL/MTSS1/CAP1/DPYSL3/RAC3/SORBS1/RND3/SPTBN4/ACTR3/FAM171A1/GMFB/TTC8/ACTG1/GSN/DIAPH2/CRACD/EPS8/PTK2B/WASF1/GAS2L3/SPECC1L/PAK3/LPAR1/MSRB1/SMAD3/PIK3CA/MTOR/JAK2/PAWR/MYO1C/MICAL1/SORBS3/RHOBTB2/ANG/PDLIM1/PHLDB2/RGCC/GBA2/WHAMM/SNX9/RAC1/FLNA/INPP5K/ARPC4/BIN1/HIP1/FSCN1/CNN3/EVL/MYL9/SPIRE2/TPM3/CFL1/ARF1/MET/PLEKHH2/PPM1F/RGS4/SEMA5A/INF2/SH3BP1/CAPZB/PREX1/WASHC4/TPM1/PHACTR1/PFN2/SFRP1/ARF6/CORO1C/CORO1B/MICAL3/ITGB1BP1/VASP/DIAPH3/TRPV4/ELMO1/TJP1/ACTR2/ZBED3/ZEB2/RUFY3/ALMS1/ARPC3/TRIOBP/SDC4/SLIT2/WASL/DIAPH1/TNFAIP1/LIMK1/KANK4/SHROOM3/NEBL/COTL1/BCL2/SPTAN1/SHROOM2/ACTN1/NCKAP1/CCL11/TMSB15B/WASF2/PXN/RND1",155
"GO:0043434","GO:0043434","response to peptide hormone","153/3391","461/18860",0.331887201735358,1.84588399431697,8.60907052987685,1.42361580867898e-15,1.27596651195027e-12,8.80072870598387e-13,"SORT1/KLF15/CXCL12/ERRFI1/INHBB/COL1A1/FOXO1/GDF15/IRS2/NR4A3/AGTRAP/PRKAA1/KLF5/CFLAR/ROCK2/PIK3R1/COL3A1/PIK3R3/LEP/RAF1/IRS1/KANK1/SESN2/STAT3/RAB31/SELENOS/TRIB3/SOCS1/PRKD1/MDM2/ROCK1/SLC26A6/PPARG/AGT/STAT5A/PTPN11/SORBS1/CAT/ZFP36L1/SREBF1/STAT5B/PLCB1/ADCY8/NR4A1/SGCB/INHBA/PHIP/IGF1R/MAP1B/NONO/KLF4/CPEB1/LRP6/INSIG1/CAMK2A/SESN3/SMAD3/HDAC5/CCNA2/PIK3CA/MTOR/CUL7/JAK2/CACNA2D3/MYO1C/CAV2/PID1/RANGAP1/EIF4EBP2/CAV1/LEPROT/RAC1/PLA2G2A/INPP5K/PDK4/PIK3C2A/GNAI1/HDAC9/HSF1/LPIN1/KCNJ8/PKM/MSTN/CFL1/HSD11B2/NDEL1/TBC1D4/LPIN3/EEF2K/SCAP/EDNRB/SOS2/STXBP4/NKX6-1/BTG1/STC2/GAB1/GPER1/BTG2/SNX5/ADIPOR1/RB1/INSR/MAPK14/STAT1/ZNF106/ENPP1/PHEX/ACVR1C/EDNRA/SLC27A4/PTPRE/MBD5/ABCB1/ATP2B1/TRIM16/ASS1/PTPRJ/RARRES2/CRK/DAG1/PRKAR1A/TRPV4/SIK2/TNS2/ZBED3/GRB10/MAPK3/GRIA1/HRAS/FABP3/CHUK/MT-CYB/EPRS1/IGF1/EPM2AIP1/GNRH1/ALAS1/CREB1/PPARA/GPR173/RELA/VAMP2/CDO1/AKT3/NUCKS1/JUND/TIMP1/SHOC2/PXN/CYBA/SORL1/INSIG2",153
"GO:0032970","GO:0032970","regulation of actin filament-based process","138/3391","402/18860",0.343283582089552,1.90926816815363,8.62789395587154,1.72009904396217e-15,1.34898767522733e-12,9.30437785490591e-13,"PDPN/CXCL12/SYNPO2/FAM107A/CDC42EP3/AMOT/DAAM2/LMOD1/GPM6B/DSTN/ARHGAP28/WASF3/MYADM/ROCK2/PIK3R1/NEDD9/ACTA2/PRKCE/RND2/S1PR1/NF2/ATP2A2/CORO2B/ARPC5/FGF13/CCN2/SWAP70/CARMIL1/ELN/KANK1/CIT/ATP1A2/ANK2/SSH2/DNAI3/CNN2/CYFIP2/PRKD1/ROCK1/TGFB2/FHOD1/TRPM4/WDR1/CYRIA/FERMT2/SVIL/MTSS1/RAC3/RND3/SPTBN4/GMFB/TTC8/STC1/ACTG1/GSN/CRACD/EPS8/PTK2B/WASF1/AKAP13/SPECC1L/PAK3/LPAR1/SMAD3/PDGFRA/PIK3CA/MTOR/RALA/DAPK3/SRI/SORBS3/RHOBTB2/PHLDB2/ABL2/CACNA1C/RGCC/CAV1/GBA2/WHAMM/SNX9/RAC1/ARHGEF19/FLNA/INPP5K/BIN1/ARAP3/FSCN1/NAA20/EVL/ADORA1/PDGFRB/CFL1/ARF1/MET/PLEKHH2/PPM1F/RGS4/SEMA5A/SH3BP1/CAPZB/PREX1/WASHC4/TPM1/PFN2/EPHA5/ABRACL/SFRP1/ARF6/DVL2/CORO1B/ITGB1BP1/VASP/PKP2/DIXDC1/CRK/TJP1/ZEB2/SCN5A/ALMS1/ARPC3/TRIOBP/SDC4/HRAS/SLIT2/SLC4A2/LIMK1/KANK4/MYH9/COTL1/SPTAN1/CAMK2D/NCKAP1/CCL11/SIGLEC15/WASF2/DSP/PXN/RND1",138
"GO:0036293","GO:0036293","response to decreased oxygen levels","119/3391","330/18860",0.360606060606061,2.00561200325282,8.62862935700256,2.74632927539714e-15,1.91449665264908e-12,1.32048650890733e-12,"VCAM1/CXCL12/HIF3A/TRPC6/CBS/LOC102724560/CITED2/ABCC9/AGTRAP/PRKAA1/ABAT/FOXO3/HIGD1A/CFLAR/ROCK2/AQP3/LIF/PRKCE/LEP/POSTN/DDAH1/PTGIS/STAT3/MYC/ITGA2/SRF/FZD4/VEGFA/CPT1A/HIPK2/MDM2/TGFB2/THBS1/PPARG/EPAS1/CAT/ZFP36L1/BBC3/STC1/NOTCH1/INHBA/CASP3/MAP1LC3A/SCN2A/HIF1A/ENG/NONO/CPEB1/LOXL2/SMAD3/PARP2/CCNA2/ITPR2/WTIP/MTOR/FGFR2/CRYAB/ARNT2/ANG/PDLIM1/RGCC/CAV1/TMBIM6/EPHA4/DNMT3A/TP53/ATP1B1/RORA/RAD21/VEGFC/KCND2/HSF1/ADORA1/PLAU/MAP2K1/KCNJ8/SLC1A1/KCNMA1/MSTN/HSD11B2/VEGFD/PTGS2/ADAM17/EEF2K/SCAP/SLC11A2/STC2/CYGB/ITPR1/SFRP1/EDNRA/DDIT4/PINK1/ABCB1/MECP2/TRPV4/DPP4/ZEB2/MMP2/CBL/BNIP2/NDNF/UBQLN1/ANKRD1/MT-CYB/BNIP3L/PLOD2/ATF4/ALAS1/ADA/CREB1/PPARA/BCL2/VASN/ANGPTL4/JUND/GATA6/ERO1A/CYBA",119
"GO:0001503","GO:0001503","ossification","148/3391","455/18860",0.325274725274725,1.80910684714872,8.17966974426946,2.71580658416628e-14,1.70389705090592e-11,1.1752295650008e-11,"SORT1/FSTL3/COL1A1/CCN3/ZBTB16/TMT1A/CEBPD/GPM6B/ITGA11/IGFBP2/CBS/LOC102724560/ZHX3/FBN2/TMEM119/DHRS3/TENT5A/IGSF10/CREB3L1/PKDCC/LEP/S1PR1/PLXNB1/CDK6/CCN2/RASSF2/LRRC17/KAZALD1/CRIM1/SOX9/P2RX7/LGR4/TPM4/RFLNB/HDAC7/RBPJ/HGF/SMO/AXIN2/DNAI3/EXT1/RRAS2/PTN/VEGFA/PRKD1/DCHS1/SMAD1/TRPM4/PPARG/FERMT2/SGMS2/PTPN11/GLI2/SLC8A1/CAT/RSPO2/CTHRC1/TNFAIP6/CCN1/RUNX1/STC1/MDK/TWIST2/LOX/FKRP/NOTCH1/IL6R/GDF5/FAM20C/MSX2/OSR2/CHRDL2/PTK2B/EGR2/ADAMTS7/DDX21/HIF1A/GLI3/RBMX/CYP24A1/SMAD3/CHRDL1/SUFU/TNC/JAG1/COL1A2/PTEN/FGFR2/IARS1/ADGRG6/CCN4/GTPBP4/SFRP2/GIT1/MGP/P3H1/VEGFC/YAP1/TMEM64/SLC24A3/KLF10/TP53INP2/MAPK11/BPNT2/TFAP2A/PDLIM7/CSF1/DKK1/NAB1/BMP2K/SBDS/MAPK14/SFRP1/ENPP1/PHEX/TOB2/VCAN/ACVR1B/WNT5A/ATP2B1/BMP6/TCIRG1/CEBPB/CBFB/GREM1/HOXA2/MMP2/CCDC47/BMPR1B/MAPK3/IGF1/ATF4/MEF2C/FHL2/TMEM53/HSD17B4/MRC2/BCL2/LRP3/SBNO2/MAP2K6/ANO6/SP3/CSGALNACT1/EGFR/JUND/CCR1/SMAD9",148
