"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"ENSG00000152583",997.439773207048,-4.57491873843508,0.184056092095589,-24.8561114513891,2.22093286362437e-136,4.00167683367839e-132
"ENSG00000165995",495.092906698546,-3.29106176403312,0.133173695928782,-24.7125510866131,7.83940981763912e-135,7.06252430471108e-131
"ENSG00000120129",3409.02937530956,-2.94780986391956,0.121437689781078,-24.2742584220248,3.66692464975646e-130,2.20235494464373e-126
"ENSG00000101347",12703.3870621821,-3.76699543158728,0.155437989726032,-24.2347153242706,9.58381493860649e-130,4.3170294390953e-126
"ENSG00000189221",2341.76725275591,-3.35357994378807,0.141782348970929,-23.6530144134915,1.09895485142171e-123,3.96019370258328e-120
"ENSG00000211445",12285.6151498691,-3.73040266633611,0.165830584145527,-22.495263377125,4.61831822149366e-112,1.38688096191455e-108
"ENSG00000157214",3009.26322295794,-1.97677251857871,0.0899823243708286,-21.9684536090908,5.7699746349856e-107,1.48519147104529e-103
"ENSG00000162614",5393.10168349223,-2.03566491652846,0.0941823072437422,-21.6140905452676,1.32384915073413e-103,2.98163924974095e-100
"ENSG00000125148",3656.252782247,-2.21097855583722,0.105640780596011,-20.9292144886016,2.90239731102262e-97,5.81059941666728e-94
"ENSG00000154734",30315.1354711078,-2.34560368285631,0.115808058687375,-20.2542354085072,3.25971326905834e-91,5.87335136818931e-88
"ENSG00000139132",1223.46614081102,-2.22890298187201,0.112839437392994,-19.752872163916,7.57828363498067e-87,1.24132285940983e-83
"ENSG00000162493",1099.62586594636,-1.89121701527404,0.0957795930252379,-19.7455110795439,8.76733644006391e-87,1.3164155664756e-83
"ENSG00000134243",5510.95825597916,-2.19571163110439,0.112007681689583,-19.6032236180869,1.45132061084928e-85,2.01153036663711e-82
"ENSG00000179094",776.596665468835,-3.19174990854478,0.163962920458875,-19.4662909126783,2.12083405810172e-84,2.72951343277691e-81
"ENSG00000162692",508.170232439755,3.69266058082535,0.190185898204135,19.4160587913929,5.64602182380771e-84,6.78200141475782e-81
"ENSG00000163884",561.107166129071,-4.45912820866752,0.234863687586785,-18.9860265521881,2.22544194384834e-80,2.50612580901621e-77
"ENSG00000178695",2649.85014895882,2.52817456060387,0.134430123753086,18.8066074033189,6.66702732085756e-79,7.06626460395361e-76
"ENSG00000198624",2057.19173059348,-2.91843572447798,0.161296341726328,-18.0936262610946,3.57753309367632e-73,3.58111062676999e-70
"ENSG00000107562",25136.3075719089,1.9116698364113,0.105748095220219,18.0775817515226,4.78616722235943e-73,4.53879794802486e-70
"ENSG00000148848",1365.17398590702,1.81454314533372,0.100483648867691,18.05809368769,6.81352222227384e-73,6.13830217004651e-70
"ENSG00000146250",313.689977800113,2.75624278406193,0.154888457369916,17.7950173361161,7.72434768424902e-71,6.62749031308566e-68
"ENSG00000106976",884.745882993046,1.75625644069063,0.0997092669100345,17.6137734747891,1.93129967773599e-69,1.58173443606578e-66
"ENSG00000154930",670.046703530433,-1.89852992350107,0.10868097881591,-17.4688334995299,2.47503406057599e-68,1.93892016101992e-65
"ENSG00000163394",1216.6020649876,2.18850417776058,0.125426994392622,17.4484303666717,3.53822806498084e-68,2.65632471978437e-65
"ENSG00000253368",1040.17649034906,-1.98905883196788,0.114476718106448,-17.3752258526342,1.27104880786171e-67,9.16070296802089e-65
"ENSG00000163661",8565.70116426611,-2.26026682055988,0.130784242565227,-17.2824093807218,6.3825213581153e-67,4.4230873011739e-64
"ENSG00000162616",1467.63582703992,-1.51911806699614,0.0879565365456399,-17.2712356199687,7.74659028753578e-67,5.16955791854888e-64
"ENSG00000148175",11193.718773887,-1.44787382405787,0.084341549992619,-17.1667917436255,4.7072958574422e-66,3.02914488426406e-63
"ENSG00000124766",1281.46865801595,2.41199012866535,0.140805797628223,17.129906362477,8.87975155561567e-66,5.51708150100287e-63
"ENSG00000197381",1969.04835631005,-2.32109081388684,0.135754467112286,-17.0977122393108,1.54345146041495e-65,9.26996947125221e-63
"ENSG00000172403",8014.7816508389,-1.74435752623228,0.103292012985547,-16.8876322167945,5.5485461131296e-64,3.22495818923772e-61
"ENSG00000116285",3232.63543712134,-2.42451299177807,0.144277322347291,-16.8045327729469,2.26086985829867e-63,1.27301103458829e-60
"ENSG00000163083",418.921476555884,-3.44998558648873,0.208810170664417,-16.5221146820155,2.54322372512979e-61,1.38860015392087e-58
"ENSG00000166741",7432.9363516342,-2.18737318780406,0.134467866597406,-16.2668840010157,1.69570083796712e-59,8.98621697014457e-57
"ENSG00000070404",2128.11402480981,-1.81552435464863,0.113376796613366,-16.013191489612,1.03368775084683e-57,5.3214245413595e-55
"ENSG00000105989",333.214688163837,3.041840702728,0.191370959052684,15.8949963870463,6.86324182631274e-57,3.43505253406953e-54
"ENSG00000122035",943.340574231144,-2.28887059612184,0.144873254517412,-15.7991245778685,3.15466954527631e-56,1.5362388072105e-53
"ENSG00000119139",5029.85142077092,-1.92793686438767,0.122239410956219,-15.7718108203105,4.86351234499334e-56,2.30607277452868e-53
"ENSG00000136478",3701.52859767166,-1.46583077408214,0.093137632095591,-15.7383298361901,8.25950325415709e-56,3.81589050342058e-53
"ENSG00000196569",17178.4260430908,-2.03064228241387,0.132700385000708,-15.3024596153435,7.36209128277448e-53,3.31625401832577e-50
"ENSG00000108821",100990.694351515,1.3049464420229,0.0854759991499831,15.2668170597589,1.27233638634761e-52,5.59145292907591e-50
"ENSG00000221866",847.493946021912,-2.75315191919176,0.181860564602615,-15.1388066192783,8.98289684887829e-52,3.85366274816878e-49
"ENSG00000100242",2236.2383212374,-1.85904607960475,0.122956027078101,-15.1196010783911,1.20268967848765e-51,5.03954944813733e-49
"ENSG00000145685",2018.16368824202,1.23994363586986,0.0820420233841775,15.1135184716689,1.31904431251272e-51,5.40148645973958e-49
"ENSG00000134686",2737.98198594824,-1.38754886372378,0.0918342407691586,-15.1092757135285,1.40677497141847e-51,5.63272698555957e-49
"ENSG00000172986",756.366829107728,1.5729036742674,0.104277445143897,15.0838340170004,2.06897349568866e-51,8.1040792272431e-49
"ENSG00000102804",5397.33684521952,-1.20138799368318,0.0798459535011544,-15.0463228379609,3.6496450364881e-51,1.39913413334984e-48
"ENSG00000060718",363.762294004358,-2.42734208791258,0.161719375784639,-15.0095934771913,6.35359058134597e-51,2.38497906447274e-48
